	name	P(score>  0.99)	P(score>  0.95)	P(score>  0.90)	P(score>  0.85)	P(score>  0.80)
430	DOC#535	0.0	0.0	0.0	0.0	0.0
431	DOC#536	0.0	0.0	0.0	0.0	0.0
432	DOC#538	0.0	0.0	0.0	0.093	0.208
433	DOC#539	0.0	0.0	0.0	0.0	0.0
434	DOC#542	0.0	0.0	0.0	0.346	0.698
435	DOC#543	0.0	0.0	0.0	0.0	0.0
436	DOC#544	0.0	0.0	0.0	0.0	0.114
437	DOC#548	0.392	0.837	0.985	1.0	1.0
438	DOC#549	0.384	0.839	0.993	1.0	1.0
439	DOC#550	0.41	0.846	0.99	1.0	1.0
440	DOC#557	0.373	0.858	0.993	1.0	1.0
441	DOC#558	0.0	0.005	0.077	0.303	0.66
442	DOC#562	0.16	0.248	0.651	0.915	0.996
443	DOC#563	0.0	0.385	0.909	0.999	1.0
444	DOC#564	0.248	0.735	0.967	0.999	0.999
445	DOC#565	0.0	0.0	0.0	0.0	0.1
446	DOC#566	0.0	0.0	0.0	0.0	0.0
447	DOC#567	0.0	0.74	0.984	1.0	1.0
448	DOC#568	0.398	0.863	0.994	1.0	1.0
449	DOC#569	0.0	0.657	0.979	0.999	1.0
450	DOC#570	0.0	0.0	0.0	0.0	0.0
451	DOC#571	0.0	0.146	0.703	0.957	0.999
452	DOC#573	0.235	0.701	0.954	0.997	1.0
453	DOC#574	0.0	0.006	0.092	0.416	0.775
454	DOC#575	0.0	0.0	0.0	0.0	0.0
455	DOC#576	0.0	0.164	0.701	0.961	0.999
456	DOC#579	0.0	0.0	0.0	0.0	0.0
457	DOC#581	0.0	0.0	0.0	0.0	0.0
458	DOC#582	0.0	0.0	0.0	0.0	0.0
459	DOC#584	0.0	0.004	0.117	0.404	0.775
